Cross,Generation,ID,standard_length,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels,Notes/Observation
MmAk,F2,442,261.871,49.827,91.705,106.163,83.815,fan tail
MmAk,F2,443,264.508,36.498,71.207,77.431,52.085,
MmAk,F2,444,262.231,46.571,89.022,102.252,76.482,
MmAk,F2,445,262,53.48,89.623,101.242,75.89,
MmAk,F2,446,264.047,51.808,96.104,109.729,68.139,fork tail
MmAk,F2,447,264,43.511,83.673,89.014,74.34,
MmAk,F2,448,266.012,48.781,91.028,98.923,76.832,
MmAk,F2,449,264.647,49.388,89.866,103.61,77.289,
MmAk,F2,450,261.47,33.751,75.094,81.378,58.545,
MmAk,F2,451,264.121,41.552,82.462,87.88,66.9,
MmAk,F2,452,265.504,48.501,95.2,98.824,79.207,
MmAk,F2,453,262.008,46.506,93.393,95.834,73.049,
MmAk,F2,454,264.834,55.403,103.368,123.04,93.212,
MmAk,F2,455,264.834,43.489,79.569,85.599,65.608,
MmAk,F2,456,265.03,40.757,75.754,83.306,64.517,
MmAk,F2,457,265.008,49.035,86.457,104.284,70.919,
MmAk,F2,458,266.068,55.731,103.004,112.098,71.361,
MmAk,F2,459,266.03,45.034,90.089,103.248,80.955,fan tail
MmAk,F2,460,264.017,36.006,71.071,81.093,59.562,
MmAk,F2,461,264.008,44.841,90.089,94.081,66.37,
MmAk,F2,462,266.079,48.032,80.077,95.996,64.273,
MmAk,F2,463,260.081,45.341,95.339,100.634,78.311,
MmAk,F2,464,261.884,47.302,74.405,78.892,70.34,
MmAk,F2,465,266.008,51.878,90.769,98.601,63.799,
MmAk,F2,466,268.507,40.078,79.627,83.47,61.225,
MmAk,F2,467,264.502,54.749,91.049,101.813,81.274,
MmAk,F2,468,263.107,40.528,74.311,75.824,69.406,
MmAk,F2,469,266.434,41.022,76.012,84.244,56.2,
MmAk,F2,470,263.21,36.125,74.46,88.192,68.308,
MmAk,F2,473,266.368,41.345,74.336,85.394,68.337,
MmAk,F2,474,266.092,44.809,81.684,91.734,74.459,
MmAk,F2,475,264.121,43.046,81.432,90.708,71.383,
MmAk,F2,476,269,39.789,85.006,86.783,63.179,fan tail
MmAk,F2,477,265.557,47.676,82.738,94.476,64.956,
MmAk,F2,478,265.538,36.264,65.094,75.361,56.824,
MmAk,F2,479,267.547,41.003,67.667,78.995,49.083,damage?
MmAk,F2,480,246.778,44.688,84.69,100.365,74.43,
MmAk,F2,481,266.038,47.253,78.692,93.371,56.777,
MmAk,F2,482,265.047,34.442,67.61,79.504,56.099,
MmAk,F2,483,264.08,45.056,85.003,93.499,62.901,
MmAk,F2,484,264.819,47.566,84.253,94.747,51.532,
MmAk,F2,485,259.012,48.677,85.842,98.22,70.214,
MmAk,F2,486,257.694,46,82.141,95.827,58.92,
MmAk,F2,487,257.031,47.253,93.783,106.891,75.404,
MmAk,F2,488,256.333,46.043,82.738,95.618,71.236,
MmAk,F2,489,257.376,51.251,99.103,110.463,67.872,
MmAk,F2,490,262.337,51.502,88.406,100.4,62.623,
MmAk,F2,491,255.209,42.067,85.435,90.85,68.719,
MmAk,F2,492,267.84,53.25,97.145,107.779,78.972,
MmAk,F2,493,270.078,52.129,99.023,103.817,77.852,
MmAk,F2,494,263.154,51.255,94.679,105.997,85.155,damage?
MmAk,F2,495,263.502,43.012,82.451,87.569,64.281,
MmAk,F2,496,261.67,41.787,77.104,87.846,64.964,
MmAk,F2,497,266.002,40.512,71.324,85.843,70.528,
MmAk,F2,498,261.031,51.51,102.044,115.996,88.974,
MmAk,F2,499,266.62,52.752,91.762,106.042,85.017,
MmAk,F2,500,266.068,43.012,81.691,94.336,73.267,
MmAk,F2,501,267.007,54.332,103.247,110.463,85.755,
MmAk,F2,502,268.007,40.611,78.729,93.648,73.348,
MmAk,F2,503,268.007,38.082,74.243,85.7,64.904,
MmAk,F2,504,266.008,39.756,75.851,90.104,72.396,
MmAk,F2,505,258.38,56.729,113.882,130.916,105.58,
MmAk,F2,506,260.492,42.333,71.336,87.703,68.197,
MmAk,F2,507,264.008,32.007,55.415,57.814,43.463,
MmAk,F2,508,257.008,56.394,100.778,125.794,99.169,
MmAk,F2,509,270.474,41.049,75.107,85.768,63.149,
MmAk,F2,510,270,32.004,65.031,69.904,59.424,
MmAk,F2,511,264.371,49.721,88.893,100.028,79.253,
MmAk,F2,512,266.03,41.679,78.336,90.136,71.081,
MmAk,F2,513,262.122,56.52,107.029,124.665,95.819,
MmAk,F2,514,262.031,64.008,126,139.857,108.577,fan tail
MmAk,F2,515,260.048,40.112,74.542,78.918,58.951,
MmAk,F2,516,263.19,57.09,100.816,120.522,97.334,
MmAk,F2,517,263.048,41.692,79.539,93.172,73.246,
MmAk,F2,518,268.007,51.333,95.676,103.078,82.182,
MmAk,F2,519,264.03,42.027,83.524,93.628,71.121,
MmAk,F2,520,266.03,52.118,90.139,107.935,80.276,
MmAk,F2,537,217.147,39.033,70.429,79.064,62.486,
MmAk,F2,538,217.279,44.283,79.191,99.384,80.449,
MmAk,F2,539,265.002,47.265,85.709,102,73.573,
MmAk,F2,540,260.123,50.01,99.182,119.541,99.005,
MmAk,F2,541,264,59.06,100.692,119.02,97.062,
MmAk,F2,542,262.039,39.829,72.542,83.804,57.581,
MmAk,F2,543,262.558,55.653,99.84,118.143,95.959,
MmAk,F2,544,260.012,57.936,101.98,116.347,87.963,
MmAk,F2,545,262.5,62.561,108.733,123.762,108.792,fan tail
MmAk,F2,546,260.254,38.511,60.407,79.21,40.43,very damaged
MmAk,F2,547,261.5,49.781,98.747,111.545,67.872,
MmAk,F2,548,265.047,42.324,77.749,77.627,55.066,
