Cross,Generation,ID,photo_standard_pixels,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels
MmAk,F2,488,460.192,49.888,87.356,100.388,60.231
MmAk,F2,489,518.59,56.345,98.505,117.75,77.9
MmAk,F2,490,486.106,52.321,90.579,104.345,64.223
MmAk,F2,491,436.14,44.07,85.236,88.792,47.95
MmAk,F2,492,529.98,50.383,103.199,114.636,84.404
MmAk,F2,493,505.18,55.06,94.109,102.341,66.626
MmAk,F2,494,526.071,54.106,95.778,109.44,61.83
MmAk,F2,495,443.043,45.547,86.52,91.622,59.723
MmAk,F2,496,424.946,40.334,84.743,95.55,62.314
MmAk,F2,497,402.82,42.215,77.671,92.915,53.477
MmAk,F2,498,535.99,53.626,102.068,117.206,68.218
MmAk,F2,499,515.019,56.247,86.245,103.919,67.51
MmAk,F2,500,433.963,46.412,86.515,100.263,59.226
MmAk,F2,501,549.35,55.343,105.405,115.435,76.034
MmAk,F2,502,421.193,43.443,81.578,98.177,66.225
MmAk,F2,503,380.214,39.14,79.058,87.155,57.733
MmAk,F2,504,396.633,41.035,76.254,90.072,53.326
MmAk,F2,505,568.147,52.636,111.843,134.52,87.855
MmAk,F2,506,416.835,49.673,78.113,84.9,63.433
MmAk,F2,507,321.328,33.036,60.01,59.783,37.185
MmAk,F2,508,562.624,54.769,106.422,126.243,80.554
MmAk,F2,509,421.033,6.414,78.6,86.114,51.565
MmAk,F2,510,333.623,33.038,68.867,75.673,46.866
MmAk,F2,511,487.286,52.175,90.112,101.813,54.61
MmAk,F2,512,418.107,47.151,77.68,90.997,68.093
MmAk,F2,513,557.226,57.025,105.535,115.767,81.388
MmAk,F2,514,671.935,63.056,122.03,140.825,95.5
MmAk,F2,515,397.204,42.035,78.358,81.486,56.216
MmAk,F2,516,541.67,59.564,100.309,120.132,77.964
MmAk,F2,517,423.473,41.133,78.368,95.475,58.585
MmAk,F2,518,508.048,53.174,94.045,104.947,77.771
MmAk,F2,519,430.703,43.129,87.593,95.951,62.963
MmAk,F2,537,373.24,41.883,69.473,81.133,56.976
MmAk,F2,538,456.707,49.685,81.597,93.175,68.913
MmAk,F2,539,457.821,49.033,84.312,95.406,63.917
MmAk,F2,540,535.457,55.903,101.062,116.733,85.72
MmAk,F2,541,583.537,56.346,108.32,129.058,93.384
MmAk,F2,542,402.864,42.037,72.45,84.698,58.519
MmAk,F2,543,554.384,57.033,108.097,117.417,86.306
MmAk,F2,544,550.316,62.024,103.044,118.62,82.437
MmAk,F2,545,602.215,63.226,116.643,131.965,97.777
MmAk,F2,546,371.025,39.074,62.785,74.458,44.388
MmAk,F2,547,496.05,48.19,94.526,108.446,81.346
MmAk,F2,548,433.36,46.877,75.237,77.133,55.887
MmAk,F2,549,532.77,59.067,104.111,114.692,81.39
MmAk,F2,550,403.125,45.067,73.036,82.972,56.783
